Reaction,Comp2GPR rules,yeast9 rules,Exact Match
r_0173,YPL061W,YPL061W,True
r_0174,YOR374W,YOR374W,True
r_0175,YER073W or YOR374W,YER073W or YOR374W,True
r_0176,YOR374W,YOR374W,True
r_0177,YPL061W,YPL061W,True
r_0178,YER073W or YOR374W,YER073W or YOR374W,True
r_0179,YBR145W or YDL168W or YOL086C,YBR145W or YDL168W or YOL086C,True
r_0180,YGL256W or YMR083W,YGL256W or YMR083W,True
r_0181,YCR105W or YMR318C,YCR105W or YMR318C,True
r_0182,YBR145W or YDL168W or YOL086C,YBR145W or YDL168W or YOL086C,True
r_0183,YGL256W or YMR083W,YGL256W or YMR083W,True
r_0184,YCR105W or YMR318C,YCR105W or YMR318C,True
r_0185,YMR169C or YMR170C,YMR169C or YMR170C,True
r_0186,YBR145W or YDL168W or YOL086C,YBR145W or YDL168W or YOL086C,True
r_0187,YGL256W or YMR083W,YGL256W or YMR083W,True
r_0188,YDR481C,YDR481C,True
r_0189,YIR029W,YIR029W,True
r_0190,YIR027C,YIR027C,True
r_0191,YBR208C,YBR208C,True
r_0192,YBR199W or YBR205W or YDR483W or YJL139C or YKR061W or YNL029C or YOR099W or YPL053C,YBR199W or YBR205W or YDR483W or YJL139C or YKR061W or YNL029C or YOR099W or YPL053C,True
r_0193,YPR026W or YBR001C,YPR026W or YBR001C,True
r_0194,YDR001C and YBR126C and YDR074W,YDR001C,False
r_0195,(YDR074W and YML100W and YBR126C) or (YDR074W and YMR261C and YBR126C),(YBR126C and YDR074W and YML100W) or (YBR126C and YDR074W and YMR261C),True
r_0198,YBR299W or YGR287C or YGR292W or YIL172C or YJL216C or YJL221C,YBR299W or YGR287C or YGR292W or YIL172C or YJL216C or YJL221C,True
r_0199,(YBL080C and YGR102C and YMR293C) or YDR242W,YDR242W or YMR293C,False
r_0200,,,True
r_0201,YOR374W,YOR374W,True
r_0202,YDR354W,YDR354W,True
r_0203,YER090W and YKL211C,YER090W and YKL211C,True
r_0204,YDR305C,YDR305C,True
r_0205,YHR104W,YHR104W,True
r_0206,YPL111W,YPL111W,True
r_0207,YHR018C,YHR018C,True
r_0208,YOL058W,YOL058W,True
r_0209,YDR341C,YDR341C,True
r_0210,YHR091C,YHR091C,True
r_0211,YGR124W or YPR145W,YGR124W or YPR145W,True
r_0212,YHR019C,YHR019C,True
r_0213,YCR024C,YCR024C,True
r_0214,YJL130C,YJL130C,True
r_0215,YER052C,YER052C,True
r_0216,YLR027C,YLR027C,True
r_0217,YKL106W,YKL106W,True
r_0218,YLR027C,YLR027C,True
r_0219,YDR158W,YDR158W,True
r_0220,YLL018C,YLL018C,True
r_0221,YPL104W,YPL104W,True
r_0222,YDR530C,YDR530C,True
r_0223,YCL050C,YCL050C,True
r_0224,YCL050C,YCL050C,True
r_0225,YER055C,YER055C,True
r_0226,YJR121W and Q0085 and YPL078C and YBL099W and YDR298C and YPL271W and YKL016C and YBR039W and Q0130 and YDR322C-A and YML081C-A and YOL077W-A and YDR377W and YDL004W and YPR020W and YLR295C,Q0080 and Q0085 and Q0130 and YBL099W and YBR039W and YDL004W and YDR298C and YDR377W and YJR121W and YKL016C and YLR295C and YML081C-A and YPL078C and YPL271W and YDR322C-A and YPR020W and YOL077W-A,False
r_0227,YGL008C or YPL036W or YER005W,(YCR024C-A and YEL017C-A and YGL008C) or (YCR024C-A and YEL017C-A and YPL036W) or YER005W,False
r_0228,YBR110W,YBR110W,True
r_0229,YGR286C,YGR286C,True
r_0230,YDL141W,YDL141W,True
r_0231,YNL280C,YNL280C,True
r_0233,YMR015C,YMR015C,True
r_0234,YGR060W and YGL001C and YLR100W,YGL001C,False
r_0235,YGR060W and YGL001C and YLR100W,YGL001C,False
r_0236,YGR060W and YGL001C and YLR100W,YLR100W,False
r_0237,YGR060W and YGL001C and YLR100W,YLR100W,False
r_0238,YGR060W and YGL001C and YLR100W,YGR060W,False
r_0239,YGR060W and YGL001C and YLR100W,YGR060W,False
r_0240,YGR060W and YGL001C and YLR100W,YGR060W,False
r_0241,YGR060W and YGL001C and YLR100W,YGR060W,False
r_0242,YLR056W,YLR056W,True
r_0243,YMR202W,YMR202W,True
r_0244,YGL012W,YGL012W,True
r_0249,YDL090C and YKL019W,YDL090C and YKL019W,True
r_0250,YJR109C or (YJR109C and YOR303W) or YJL130C,YJL130C or (YJR109C and YOR303W),False
r_0252,YAR035W or YER024W,YAR035W or YER024W,True
r_0253,YML042W,YML042W,True
r_0254,YML042W,YML042W,True
r_0255,YGR088W,YGR088W,True
r_0256,YDR256C,YDR256C,True
r_0259,YDR297W,YDR297W,True
r_0260,YMR272C,YMR272C,True
r_0261,YDR297W,YDR297W,True
r_0262,YMR272C,YMR272C,True
r_0263,YKL008C and YHL003C and YMR298W,YKL008C and YHL003C and YMR298W,True
r_0264,YKL008C and YHL003C and YMR298W,YKL008C and YHL003C and YMR298W,True
r_0265,YKL008C and YHL003C and YMR298W,YKL008C and YHL003C and YMR298W,True
